pass1: researching 100 apps with sonnet, parallel=8
  [  6] Podio                      access=self_serve_free build=ready_with_caveats tools=7 errors=[]
  [  7] Zoho CRM                   access=self_serve_free build=ready tools=10 errors=[]
  [  8] Close                      access=self_serve_trial build=ready_with_caveats tools=9 errors=[]
  [  2] HubSpot                    access=self_serve_free build=ready_with_caveats tools=10 errors=[]
  [  3] Pipedrive                  access=self_serve_free build=ready_with_caveats tools=10 errors=[]
  [  1] Salesforce                 access=self_serve_free build=ready_with_caveats tools=6 errors=[]
  [  4] Attio                      access=self_serve_free build=ready tools=11 errors=[]
  [  5] Twenty                     access=self_serve_free build=ready tools=13 errors=[]
  [ 12] Intercom                   access=self_serve_free build=ready tools=10 errors=[]
  [ 10] DealCloud                  access=approval_required build=ready_with_caveats tools=11 errors=[]
  [  9] Copper                     access=self_serve_trial build=ready_with_caveats tools=14 errors=[]
  [ 14] Front                      access=self_serve_free build=ready_with_caveats tools=11 errors=[]
  [ 13] Freshdesk                  access=self_serve_trial build=ready_with_caveats tools=14 errors=[]
  [ 11] Zendesk                    access=self_serve_trial build=ready_with_caveats tools=13 errors=[]
  [ 16] LiveAgent                  access=self_serve_trial build=ready_with_caveats tools=16 errors=[]
  [ 17] Plain                      access=self_serve_trial build=ready_with_caveats tools=10 errors=[]
  [ 15] Pylon                      access=partner_gated build=blocked tools=12 errors=[]
  [ 18] Help Scout                 access=self_serve_trial build=ready_with_caveats tools=12 errors=[]
  [ 21] Slack                      access=self_serve_free build=ready tools=9 errors=[]
  [ 19] Gorgias                    access=self_serve_trial build=ready_with_caveats tools=13 errors=[]
  [ 23] Zoho Cliq                  access=self_serve_free build=ready tools=8 errors=[]
  [ 25] Pumble                     access=self_serve_free build=ready tools=7 errors=[]
  [ 22] Twilio                     access=self_serve_free build=ready_with_caveats tools=8 errors=[]
  [ 26] Discord                    access=self_serve_free build=ready_with_caveats tools=11 errors=[]
  [ 24] Lark (Larksuite)           access=approval_required build=ready_with_caveats tools=11 errors=[]
  [ 27] Telegram                   access=self_serve_free build=ready tools=8 errors=[]
  [ 30] Vonage                     access=None build=None tools=6 errors=['no JSON']
  [ 29] Aircall                    access=None build=None tools=10 errors=['no JSON']
  [ 32] Meta Ads                   access=None build=None tools=1 errors=['no JSON']
  [ 20] Gladly                     access=None build=None tools=18 errors=['no JSON']
  [ 33] LinkedIn Ads               access=None build=None tools=0 errors=['no JSON']
  [ 31] Google Ads                 access=None build=None tools=6 errors=['no JSON']
  [ 28] WhatsApp Business          access=None build=None tools=9 errors=['no JSON']
  [ 34] GoHighLevel                access=None build=None tools=0 errors=['no JSON']
  [ 35] Mailchimp                  access=None build=None tools=0 errors=['no JSON']
  [ 39] Threads (Meta)             access=None build=None tools=0 errors=['no JSON']
  [ 37] systeme.io                 access=None build=None tools=0 errors=['no JSON']
  [ 38] Pinterest                  access=None build=None tools=0 errors=['no JSON']
  [ 40] SendGrid                   access=None build=None tools=0 errors=['no JSON']
  [ 41] Shopify                    access=None build=None tools=0 errors=['no JSON']
  [ 36] Klaviyo                    access=None build=None tools=0 errors=['no JSON']
  [ 43] BigCommerce                access=None build=None tools=0 errors=['no JSON']
  [ 42] WooCommerce                access=None build=None tools=0 errors=['no JSON']
  [ 46] Squarespace                access=None build=None tools=0 errors=['no JSON']
  [ 44] Salesforce Commerce Cloud  access=None build=None tools=0 errors=['no JSON']
  [ 45] Magento (Adobe Commerce)   access=None build=None tools=0 errors=['no JSON']
  [ 47] Ecwid                      access=None build=None tools=0 errors=['no JSON']
  [ 48] Gumroad                    access=None build=None tools=0 errors=['no JSON']
  [ 50] fanbasis                   access=None build=None tools=0 errors=['no JSON']
  [ 49] Amazon Selling Partner     access=None build=None tools=0 errors=['no JSON']
  [ 51] DataForSEO                 access=None build=None tools=0 errors=['no JSON']
  [ 52] SE Ranking                 access=None build=None tools=0 errors=['no JSON']
  [ 53] Ahrefs                     access=None build=None tools=0 errors=['no JSON']
  [ 54] MrScraper                  access=None build=None tools=0 errors=['no JSON']
  [ 55] Apify                      access=None build=None tools=0 errors=['no JSON']
  [ 57] Bright Data                access=None build=None tools=0 errors=['no JSON']
  [ 56] Firecrawl                  access=None build=None tools=0 errors=['no JSON']
  [ 58] Sherlock                   access=None build=None tools=0 errors=['no JSON']
  [ 59] Waterfall.io               access=None build=None tools=0 errors=['no JSON']
  [ 60] Clay                       access=None build=None tools=0 errors=['no JSON']
  [ 62] Vercel                     access=None build=None tools=0 errors=['no JSON']
  [ 61] GitHub                     access=None build=None tools=0 errors=['no JSON']
  [ 65] Supabase                   access=None build=None tools=0 errors=['no JSON']
  [ 64] Cloudflare                 access=None build=None tools=0 errors=['no JSON']
  [ 63] Netlify                    access=None build=None tools=0 errors=['no JSON']
  [ 66] Neo4j                      access=None build=None tools=0 errors=['no JSON']
  [ 67] Snowflake                  access=None build=None tools=0 errors=['no JSON']
  [ 68] MongoDB Atlas              access=None build=None tools=0 errors=['no JSON']
  [ 69] Datadog                    access=None build=None tools=0 errors=['no JSON']
  [ 70] Sentry                     access=None build=None tools=0 errors=['no JSON']
  [ 71] Notion                     access=None build=None tools=0 errors=['no JSON']
  [ 73] Linear                     access=None build=None tools=0 errors=['no JSON']
  [ 74] Jira                       access=None build=None tools=0 errors=['no JSON']
  [ 72] Airtable                   access=None build=None tools=0 errors=['no JSON']
  [ 75] Asana                      access=None build=None tools=0 errors=['no JSON']
  [ 76] Monday.com                 access=None build=None tools=0 errors=['no JSON']
  [ 77] ClickUp                    access=None build=None tools=0 errors=['no JSON']
  [ 78] Coda                       access=None build=None tools=0 errors=['no JSON']
  [ 80] Harvest                    access=None build=None tools=0 errors=['no JSON']
  [ 81] Stripe                     access=None build=None tools=0 errors=['no JSON']
  [ 79] Smartsheet                 access=None build=None tools=0 errors=['no JSON']
  [ 82] Plaid                      access=None build=None tools=0 errors=['no JSON']
  [ 83] Binance                    access=None build=None tools=0 errors=['no JSON']
  [ 84] Paygent Connect            access=None build=None tools=0 errors=['no JSON']
  [ 85] iPayX                      access=None build=None tools=0 errors=['no JSON']
  [ 86] QuickBooks                 access=None build=None tools=0 errors=['no JSON']
  [ 87] Xero                       access=None build=None tools=0 errors=['no JSON']
  [ 88] Brex                       access=None build=None tools=0 errors=['no JSON']
  [ 91] NotebookLM                 access=None build=None tools=0 errors=['no JSON']
  [ 90] PitchBook                  access=None build=None tools=0 errors=['no JSON']
  [ 89] Ramp                       access=None build=None tools=0 errors=['no JSON']
  [ 92] Otter AI                   access=None build=None tools=0 errors=['no JSON']
  [ 93] Fathom                     access=None build=None tools=0 errors=['no JSON']
  [ 94] Consensus                  access=None build=None tools=0 errors=['no JSON']
  [ 95] Reducto                    access=None build=None tools=0 errors=['no JSON']
  [ 96] Devin                      access=None build=None tools=0 errors=['no JSON']
  [ 97] higgsfield                 access=None build=None tools=0 errors=['no JSON']
  [ 99] YouTube Transcript         access=None build=None tools=0 errors=['no JSON']
  [ 98] Mermaid CLI                access=None build=None tools=0 errors=['no JSON']
  [100] Grain                      access=None build=None tools=0 errors=['no JSON']
PASS1 EXIT 0
pass1: researching 74 apps with sonnet, parallel=4
  [ 30] Vonage                     access=self_serve_free build=ready_with_caveats tools=10 errors=[]
  [ 28] WhatsApp Business          access=approval_required build=ready_with_caveats tools=9 errors=[]
  [ 20] Gladly                     access=paid_plan build=ready_with_caveats tools=13 errors=[]
  [ 31] Google Ads                 access=approval_required build=ready_with_caveats tools=8 errors=[]
  [ 29] Aircall                    access=approval_required build=ready_with_caveats tools=17 errors=[]
  [ 32] Meta Ads                   access=approval_required build=ready_with_caveats tools=8 errors=[]
  [ 33] LinkedIn Ads               access=approval_required build=ready_with_caveats tools=7 errors=[]
  [ 34] GoHighLevel                access=self_serve_trial build=ready_with_caveats tools=9 errors=[]
  [ 36] Klaviyo                    access=self_serve_free build=ready tools=7 errors=[]
  [ 37] systeme.io                 access=self_serve_free build=ready_with_caveats tools=8 errors=[]
  [ 35] Mailchimp                  access=self_serve_free build=ready tools=15 errors=[]
  [ 39] Threads (Meta)             access=approval_required build=ready_with_caveats tools=4 errors=[]
  [ 38] Pinterest                  access=approval_required build=ready_with_caveats tools=8 errors=[]
  [ 40] SendGrid                   access=self_serve_trial build=ready_with_caveats tools=10 errors=[]
  [ 43] BigCommerce                access=self_serve_free build=ready_with_caveats tools=8 errors=[]
